,intercept,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,March,April,May
Adams County Fire Protection District,3.822541707951718,-0.020302673612639616,-0.0435471552746546,-0.04163740385487431,0.08427665130037586,0.0038070574173260873,-0.11365552469991169,0.056735454364040865,0.004198342751489436,-0.014278048266300027
Albuquerque Fire Rescue,5.4297053964988615,0.016125927832407082,0.000629564739246619,-0.001336485946357576,0.009298766939167468,0.03626833004568848,-0.056373599956804396,0.0049766170277039746,0.014146470640546834,0.2530474104471026
Alexandria Fire Department,4.043973649441811,0.0335948774317724,-0.06389028588584827,-0.019310147698432714,0.0034788644473807136,-0.003147119611241494,-0.04543813637929145,0.020028879760110738,0.11306925430962556,0.15289460679990705
Anne Arundel County Fire Department,5.490347473140332,-0.00545952881162565,-0.027264742165127292,-0.019974695112083832,0.03235648346998088,-0.09311558716923059,-0.04980735324120726,0.023948783262610254,0.044918213743577184,0.0626713635750451
Beavercreek Township Fire Department,2.964629993259862,-0.005515083196676167,-0.030211118342017666,0.011855994141539124,-0.03825697380858087,-0.039805612201138464,-0.14209074048824882,-0.10646563972395848,0.00969509739328125,0.06698109344417576
Bellevue Fire Department,3.8573271829823192,0.01833513986682085,-0.0018508288253613918,0.05899798392042075,-0.06317987670928485,-0.1549990072847128,-0.1579883238307113,0.06170551600592082,0.02949779694856892,0.017613210083487697
Boston Fire Department,5.38107703186028,-0.0352037385517235,-0.045839910923251875,-0.054663391240291515,0.05570471533575508,-0.02527316333767462,-0.13215738245028943,-0.00849247346909479,0.01749890772439309,0.03281484387537888
Broward County Sheriffs Office Department of Fire Rescue,4.963738698457749,-0.0019769187346066266,-0.02727079755933662,-0.005235794263569929,0.05434830508430446,0.03477199357754599,-0.007828304433945648,-0.0036887840186205466,-0.053638347737267306,-0.07268438901864019
Carmel Fire Department,3.034741449023153,0.014840261416103232,-0.002317313349717707,-0.008910363016398831,0.009855522855560808,-0.06161864117792602,-0.11601605940014353,-0.017332043202620717,-0.015227399645858758,0.1279979571712019
Cicero Fire Department,0.8042200084903265,-0.051362642937452935,0.008550002593281265,-0.007249250349393884,0.025525284337221028,0.03605763110232081,-0.11299670816609234,-0.005462197535718298,-0.05113720424617822,0.03276545836890289
City of Fairfax Fire Department,2.92271768964612,0.1483819064171417,0.09241885441940896,0.08368285506352671,0.06990062687311084,-0.01556741058361426,-0.12105496655002973,-0.012902130796130305,-0.05015300159715282,-0.026323663235108638
City of Fort Myers Fire Department,4.104299185241487,-0.0312732583897893,-0.030380428397838583,-0.06359336208141352,0.019184812344701988,-0.06276590662157015,-0.15166444479328398,0.013216658178988037,-0.015067541249370578,-0.03964227152010445
City of Roseville Fire Department,3.8742075772748916,-0.01515636724685873,-0.019590455084129012,0.0036159118165625934,-0.022476523720923396,-0.12212004583246046,-0.08872268882086932,0.0258480026792982,0.01181530327463356,-0.003352103182948478
City of Saint Paul Fire Department,4.870347937305837,0.040013868829388295,0.06922576396983732,0.04061458681043438,0.04235301664720485,0.01141543638226554,-0.08807902233756192,0.0108840459986838,-0.03643698411761017,0.011233894911382759
City of Westfield Fire Department,2.277721795295964,0.001262546921662691,-0.08158965919138599,-0.06564231305583224,0.06285358698372971,-0.059739867479913306,-0.14486087385574087,-0.04456771524750234,-0.12884884634737803,0.034686901340934224
Clark County Fire Department,6.4726305503733625,-0.05029088162898044,-0.05956636092507993,-8.790754486885846e-05,0.03414929612132177,0.02904941353137043,-0.005686911065714494,0.051645112248498964,0.089631129419275,0.06487851032247345
Coral Gables Fire and Rescue Department,3.103382823817175,-0.03723148062778681,-0.001499814431910782,-0.05950972398952238,0.03329288471032882,-0.011038360654990743,-0.11907523768942467,0.15808713411249828,0.014260956631179869,0.051577808819216434
Cosumnes Community Services District Fire Department,3.907732945964229,-0.005582577698622544,-0.06927496602985694,-0.05637959969792047,-0.032394044512949,-0.1079304608217018,-0.16745665238163274,0.026314118389907933,-0.053858577105305616,0.01531112461561433
Delaware Fire Department,2.8459996984235274,-0.12841517535719402,-0.0457444726428215,-0.06795469756559228,0.038416369635288265,-0.08106569443077515,-0.12488108723812343,0.0883500554177398,0.007964486012527878,0.14475729555751748
Delray Beach Fire-Rescue Department,3.8746962958976714,-0.042410846982199144,0.029512084478596937,-0.0663518552655257,0.048821466274255765,-0.04116448947317401,-0.062204588433532555,0.017628325246104713,-0.05743630415595443,-0.05170496870968921
East Pierce Fire and Rescue,3.507999186010208,-0.12398132671642144,-0.06760298605670019,-0.013494113910343764,-0.04023300112662087,-0.10578729244203759,-0.07824125553390748,-0.04641687519271192,-0.06807813874208515,0.045224933683871274
Fairmount Fire Protection District,1.028957544567285,0.035753314919357536,-0.015796826360313106,0.06982205495130951,-0.006679589045393053,-0.20290642760536212,-0.16483209017575923,0.10247181355616646,-0.07831201375770609,-0.044685332787738286
Fishers Fire and Emergency Services,2.7512538684538446,0.011623914886943518,-0.1072446986896413,0.005073288348783451,-0.02581957657093116,-0.006133433709118042,-0.17161885595962123,-0.0022937256877265397,-0.027162908646360236,0.08802641670647916
Golder Ranch Fire District,3.847064732566989,-0.03347487049405898,-0.006025688629716901,-0.02935622911358201,-0.0005468299808449663,-0.07381008490644342,-0.16328826511482125,0.046477673661799786,0.2540495067195893,0.16126386831094067
Hall County Fire Services,4.252714955349763,0.01473801882282245,-0.005406153352013137,-0.03098305705344024,0.031451498682250244,-0.030378604262676932,-0.13218177131752296,-0.0010697728128670008,0.05450890568570865,0.06545084458893727
