count,department_name,intercept,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
45,Adams County Fire Protection District,1,1,0,0,0,0,0,0,0,0,0
16,Noblesville Fire Department,1,1,0,0,0,0,0,0,0,0,0
47,Northwest Fire District,1,1,0,0,0,0,0,0,0,0,0
146,Ontario Fire Department,1,1,0,0,0,0,0,0,0,0,0
540,Orange County Fire Rescue Department,1,1,0,0,0,0,0,0,0,0,0
159,Orlando Fire Department,1,1,0,0,0,0,0,0,0,0,0
78,Pasco Fire Department,1,1,0,0,0,0,0,0,0,0,0
24,Plainfield Fire Protection District,1,1,0,0,0,0,0,0,0,0,0
273,Anne Arundel County Fire Department,1,1,0,0,0,0,0,0,0,0,0
78,Richland Fire and Emergency Services,1,1,0,0,0,0,0,0,0,0,0
117,Richmond Fire and Emergency Services,1,1,0,0,0,0,0,0,0,0,0
22,Riviera Beach Fire Rescue,1,1,0,0,0,0,0,0,0,0,0
21,Rogers Fire Department,1,1,0,0,0,0,0,0,0,0,0
98,Newport News Fire Department,1,1,0,0,0,0,0,0,0,0,0
278,Sacramento Metropolitan Fire District,1,1,0,0,0,0,0,0,0,0,0
65,Alexandria Fire Department,1,1,0,0,0,0,0,0,0,0,0
1,Sheridan Fire Department,1,1,0,0,0,0,0,0,0,0,0
2,Simsbury Volunteer Fire Department,1,1,0,0,0,0,0,0,0,0,0
26,South Adams County Fire Protection District,1,1,0,0,0,0,0,0,0,0,0
5,Southern Platte Fire Protection District,1,1,0,0,0,0,0,0,0,0,0
27,St Louis Park Fire Department,1,1,0,0,0,0,0,0,0,0,0
51,Starwest Tech RMZ,1,1,0,0,0,0,0,0,0,0,0
103,The Villages Public Safety Department,1,1,0,0,0,0,0,0,0,0,0
230,Albuquerque Fire Rescue,1,1,0,0,0,0,0,0,0,0,0
8,Toms River Fire District 1,1,1,0,0,0,0,0,0,0,0,0
8,Torrington Fire Department,1,1,0,0,0,0,0,0,0,0,0
275,Tucson Fire Department,1,1,0,0,0,0,0,0,0,0,0
394,San Francisco Fire Department,1,1,0,0,0,0,0,0,0,0,0
119,West Metro Fire Rescue,1,1,0,0,0,0,0,0,0,0,0
40,New Rochelle Fire Department,1,1,0,0,0,0,0,0,0,0,0
233,Mesa Fire and Medical Department,1,1,0,0,0,0,0,0,0,0,0
17,City of Fairfax Fire Department,1,1,0,0,0,0,0,0,0,0,0
62,City of Fort Myers Fire Department,1,1,0,0,0,0,0,0,0,0,0
51,City of Roseville Fire Department,1,1,0,0,0,0,0,0,0,0,0
169,City of Saint Paul Fire Department,1,1,0,0,0,0,0,0,0,0,0
15,City of Westfield Fire Department,1,1,0,0,0,0,0,0,0,0,0
157,Broward County Sheriffs Office Department of Fire Rescue,1,1,0,0,0,0,0,0,0,0,0
723,Clark County Fire Department,1,1,0,0,0,0,0,0,0,0,0
26,Coral Gables Fire and Rescue Department,1,1,0,0,0,0,0,0,0,0,0
45,Cosumnes Community Services District Fire Department,1,1,0,0,0,0,0,0,0,0,0
18,Delaware Fire Department,1,1,0,0,0,0,0,0,0,0,0
50,Delray Beach Fire-Rescue Department,1,1,0,0,0,0,0,0,0,0,0
28,East Pierce Fire and Rescue,1,1,0,0,0,0,0,0,0,0,0
799,Miami-Dade Fire Rescue Department,1,1,0,0,0,0,0,0,0,0,0
252,Boston Fire Department,1,1,0,0,0,0,0,0,0,0,0
25,Fishers Fire and Emergency Services,1,1,0,0,0,0,0,0,0,0,0
49,Golder Ranch Fire District,1,1,0,0,0,0,0,0,0,0,0
75,Hall County Fire Services,1,1,0,0,0,0,0,0,0,0,0
17,Jackson County Fire District 3,1,1,0,0,0,0,0,0,0,0,0
1,Jackson Township Fire Department,1,1,0,0,0,0,0,0,0,0,0
81,Jersey City Fire Department,1,1,0,0,0,0,0,0,0,0,0
58,Bellevue Fire Department,1,1,0,0,0,0,0,0,0,0,0
12,Kingston Fire and Rescue,1,1,0,0,0,0,0,0,0,0,0
177,Lexington Fire Department,1,1,0,0,0,0,0,0,0,0,0
1089,Los Angeles County Fire Department,1,1,0,0,0,0,0,0,0,0,0
76,Loudoun County Fire Rescue and EMS,1,1,0,0,0,0,0,0,0,0,0
415,Memphis Division of Fire Services,1,1,0,0,0,0,0,0,0,0,0
3,Fairmount Fire Protection District,1,1,0,0,0,0,0,0,0,0,0
75,West Palm Beach Fire Department,1,1,0,0,0,0,0,0,0,0,0
35,Carmel Fire Department,1,1,0,0,0,0,0,0,0,0,0
660,Clark County Fire Department,1,0,1,0,0,0,0,0,0,0,0
3,Sheridan Fire Department,1,0,1,0,0,0,0,0,0,0,0
143,City of Saint Paul Fire Department,1,0,1,0,0,0,0,0,0,0,0
81,Alexandria Fire Department,1,0,1,0,0,0,0,0,0,0,0
9,Torrington Fire Department,1,0,1,0,0,0,0,0,0,0,0
20,Carmel Fire Department,1,0,1,0,0,0,0,0,0,0,0
18,Coral Gables Fire and Rescue Department,1,0,1,0,0,0,0,0,0,0,0
16,Plainfield Fire Protection District,1,0,1,0,0,0,0,0,0,0,0
77,Loudoun County Fire Rescue and EMS,1,0,1,0,0,0,0,0,0,0,0
439,San Francisco Fire Department,1,0,1,0,0,0,0,0,0,0,0
5,City of Westfield Fire Department,1,0,1,0,0,0,0,0,0,0,0
246,Tucson Fire Department,1,0,1,0,0,0,0,0,0,0,0
432,Memphis Division of Fire Services,1,0,1,0,0,0,0,0,0,0,0
13,Jackson County Fire District 3,1,0,1,0,0,0,0,0,0,0,0
38,Golder Ranch Fire District,1,0,1,0,0,0,0,0,0,0,0
119,Ontario Fire Department,1,0,1,0,0,0,0,0,0,0,0
243,Sacramento Metropolitan Fire District,1,0,1,0,0,0,0,0,0,0,0
24,New Rochelle Fire Department,1,0,1,0,0,0,0,0,0,0,0
13,Rogers Fire Department,1,0,1,0,0,0,0,0,0,0,0
215,Mesa Fire and Medical Department,1,0,1,0,0,0,0,0,0,0,0
74,Hall County Fire Services,1,0,1,0,0,0,0,0,0,0,0
18,Delaware Fire Department,1,0,1,0,0,0,0,0,0,0,0
49,Delray Beach Fire-Rescue Department,1,0,1,0,0,0,0,0,0,0,0
76,Newport News Fire Department,1,0,1,0,0,0,0,0,0,0,0
1307,Los Angeles County Fire Department,1,0,1,0,0,0,0,0,0,0,0
223,Boston Fire Department,1,0,1,0,0,0,0,0,0,0,0
32,Bellevue Fire Department,1,0,1,0,0,0,0,0,0,0,0
60,City of Fort Myers Fire Department,1,0,1,0,0,0,0,0,0,0,0
64,Starwest Tech RMZ,1,0,1,0,0,0,0,0,0,0,0
162,Orlando Fire Department,1,0,1,0,0,0,0,0,0,0,0
67,The Villages Public Safety Department,1,0,1,0,0,0,0,0,0,0,0
14,Noblesville Fire Department,1,0,1,0,0,0,0,0,0,0,0
22,St Louis Park Fire Department,1,0,1,0,0,0,0,0,0,0,0
10,Kingston Fire and Rescue,1,0,1,0,0,0,0,0,0,0,0
21,Fishers Fire and Emergency Services,1,0,1,0,0,0,0,0,0,0,0
97,Jersey City Fire Department,1,0,1,0,0,0,0,0,0,0,0
37,Northwest Fire District,1,0,1,0,0,0,0,0,0,0,0
4,Southern Platte Fire Protection District,1,0,1,0,0,0,0,0,0,0,0
36,City of Roseville Fire Department,1,0,1,0,0,0,0,0,0,0,0
228,Albuquerque Fire Rescue,1,0,1,0,0,0,0,0,0,0,0
2,Fairmount Fire Protection District,1,0,1,0,0,0,0,0,0,0,0
168,Lexington Fire Department,1,0,1,0,0,0,0,0,0,0,0
75,Pasco Fire Department,1,0,1,0,0,0,0,0,0,0,0
17,South Adams County Fire Protection District,1,0,1,0,0,0,0,0,0,0,0
503,Orange County Fire Rescue Department,1,0,1,0,0,0,0,0,0,0,0
28,City of Fairfax Fire Department,1,0,1,0,0,0,0,0,0,0,0
43,Adams County Fire Protection District,1,0,1,0,0,0,0,0,0,0,0
4,Toms River Fire District 1,1,0,1,0,0,0,0,0,0,0,0
75,Richland Fire and Emergency Services,1,0,1,0,0,0,0,0,0,0,0
112,West Metro Fire Rescue,1,0,1,0,0,0,0,0,0,0,0
49,Cosumnes Community Services District Fire Department,1,0,1,0,0,0,0,0,0,0,0
266,Anne Arundel County Fire Department,1,0,1,0,0,0,0,0,0,0,0
109,Richmond Fire and Emergency Services,1,0,1,0,0,0,0,0,0,0,0
21,East Pierce Fire and Rescue,1,0,1,0,0,0,0,0,0,0,0
26,Riviera Beach Fire Rescue,1,0,1,0,0,0,0,0,0,0,0
710,Miami-Dade Fire Rescue Department,1,0,1,0,0,0,0,0,0,0,0
84,West Palm Beach Fire Department,1,0,1,0,0,0,0,0,0,0,0
154,Broward County Sheriffs Office Department of Fire Rescue,1,0,1,0,0,0,0,0,0,0,0
4,Toms River Fire District 1,1,0,0,1,0,0,0,0,0,0,0
199,Albuquerque Fire Rescue,1,0,0,1,0,0,0,0,0,0,0
399,Memphis Division of Fire Services,1,0,0,1,0,0,0,0,0,0,0
5,Jackson Township Fire Department,1,0,0,1,0,0,0,0,0,0,0
