date,department_name,intercept,component_1,component_2,avg_change_baseline_incidents,day_of_the_year
2020-02-17,Albuquerque Fire Rescue,1,28.16612632130633,-39.0666355886602,25.23371407202421,48
2020-02-24,Albuquerque Fire Rescue,1,0.3837736242233662,-50.71706557082641,19.16030572448573,55
2020-03-02,Albuquerque Fire Rescue,1,22.85669330487258,-51.927700481480706,17.889366285166307,62
2020-03-09,Albuquerque Fire Rescue,1,30.1130552292696,-48.987909012964245,21.3558049746844,69
2020-03-16,Albuquerque Fire Rescue,1,21.551710293463735,-41.749697126622586,21.427505223764094,76
2020-03-23,Albuquerque Fire Rescue,1,-7.830976254114913,-5.188811115996249,7.323617844034388,83
2020-03-30,Albuquerque Fire Rescue,1,-27.57438929247651,17.028363169383393,-2.1305596495081334,90
2020-04-06,Albuquerque Fire Rescue,1,-11.676999482819896,18.541848778623937,5.90757102004631,97
2020-04-13,Albuquerque Fire Rescue,1,-28.83442568862273,20.1851158316033,5.064949157103877,104
2020-04-20,Albuquerque Fire Rescue,1,-16.923176581320153,15.37923194969893,3.472103824544598,111
2020-04-27,Albuquerque Fire Rescue,1,-9.34437426714437,16.21062665185186,-0.2814533745696513,118
2020-05-04,Albuquerque Fire Rescue,1,-1.3249695936773216,11.54412015390338,-4.274071327643926,125
2020-05-11,Albuquerque Fire Rescue,1,1.9339871436164489,9.104928118875783,-16.27900674977024,132
2020-05-18,Albuquerque Fire Rescue,1,12.88410400102188,10.417751100384358,-13.727237442427196,139
2020-05-25,Albuquerque Fire Rescue,1,19.910234287877792,12.12861743405131,-11.551683170026424,146
2020-02-17,Alexandria Fire Department,1,36.68525683716901,-26.32641060166399,16.13949040526106,48
2020-02-24,Alexandria Fire Department,1,26.245602528572668,-38.324642022003445,0.327212665020582,55
2020-03-02,Alexandria Fire Department,1,4.2442755491458675,-48.77314393748244,6.317329584597509,62
2020-03-09,Alexandria Fire Department,1,45.63470023367746,-38.36054025695945,7.544814360575404,69
2020-03-16,Alexandria Fire Department,1,28.801923237573547,-33.35889859587,6.968244637127205,76
2020-03-23,Alexandria Fire Department,1,22.579241910261594,22.301485423293837,-9.42428653975553,83
2020-03-30,Alexandria Fire Department,1,7.504096549941349,38.53980445130845,-18.188578332470804,90
2020-04-06,Alexandria Fire Department,1,-14.136965512966114,39.41395274984678,-13.24557173498427,97
2020-04-13,Alexandria Fire Department,1,-9.810172746904643,45.957166561997575,-22.08064733664848,104
2020-04-20,Alexandria Fire Department,1,-12.962331150944395,41.91439532150018,-23.90651916197068,111
2020-04-27,Alexandria Fire Department,1,-13.581340412984181,40.72150748049023,-22.5008645086105,118
2020-05-04,Alexandria Fire Department,1,12.978842454406712,44.68548814516385,-21.903598443864304,125
2020-05-11,Alexandria Fire Department,1,2.0366400862800433,37.033971560824966,-14.215644770880882,132
2020-05-18,Alexandria Fire Department,1,46.590989357019765,51.83655802036834,-13.729774221968134,139
2020-02-17,Anne Arundel County Fire Department,1,17.768241215011535,-34.51186507740402,1.011230059657335,48
2020-02-24,Anne Arundel County Fire Department,1,18.968545709756246,-41.89836574824622,0.4365180127696254,55
2020-03-02,Anne Arundel County Fire Department,1,10.98060130816338,-46.556365894033654,-0.2404121123738384,62
2020-03-09,Anne Arundel County Fire Department,1,45.71998508464052,-35.806400677388986,0.9632442248608092,69
2020-03-16,Anne Arundel County Fire Department,1,30.19766934225534,-30.90800130349986,-5.189976595097798,76
2020-03-23,Anne Arundel County Fire Department,1,11.346866503320202,14.050116238250624,-14.788363756428849,83
2020-03-30,Anne Arundel County Fire Department,1,-4.922767005225421,27.975578238457615,-17.805742704829612,90
2020-04-06,Anne Arundel County Fire Department,1,-24.052605105648254,30.536273158736364,-20.317309076981783,97
2020-04-13,Anne Arundel County Fire Department,1,-24.32723758402145,32.81617282618744,-16.12601255098046,104
2020-04-20,Anne Arundel County Fire Department,1,-29.306249361600155,27.10613221004831,-22.204220097016247,111
2020-04-27,Anne Arundel County Fire Department,1,-24.854586590360093,26.09392639107207,-24.004557761719173,118
2020-05-04,Anne Arundel County Fire Department,1,7.976879324240786,33.29013118401033,-19.0170861453335,125
2020-05-11,Anne Arundel County Fire Department,1,11.362258421590962,28.106569212818012,-18.17796804905547,132
2020-05-18,Anne Arundel County Fire Department,1,64.78596090365204,44.148154949349276,-18.651272702105256,139
2020-05-25,Anne Arundel County Fire Department,1,75.81740272585483,47.48514874762005,-17.76610589913808,146
2020-02-17,Beavercreek Township Fire Department,1,15.729199603162458,-39.71527817974271,-2.0579651497603786,48
2020-02-24,Beavercreek Township Fire Department,1,27.572492730609287,-41.21214091534143,6.858877319280407,55
2020-03-02,Beavercreek Township Fire Department,1,7.932758848032689,-49.40838801642127,19.29989040068785,62
2020-03-09,Beavercreek Township Fire Department,1,66.27435795019342,-30.88230793617116,11.199163475107923,69
2020-03-16,Beavercreek Township Fire Department,1,16.525880378963397,-41.05788612571031,-1.5785841748246343,76
2020-03-23,Beavercreek Township Fire Department,1,-8.728508814881845,1.2170650224245514,-16.453633856171994,83
2020-03-30,Beavercreek Township Fire Department,1,18.83194346803855,41.48216054833155,-19.87771429849214,90
2020-04-06,Beavercreek Township Fire Department,1,14.76709486904558,36.615488769386594,-47.03380321393685,97
2020-04-13,Beavercreek Township Fire Department,1,18.44572344799491,41.20246879131987,-14.56673382568867,104
2020-04-20,Beavercreek Township Fire Department,1,17.647779728980183,34.06010647719429,-43.15903788054275,111
2020-04-27,Beavercreek Township Fire Department,1,42.48001759244604,40.325785972791124,-37.47182857887979,118
2020-05-04,Beavercreek Township Fire Department,1,33.288293457273795,32.08421507766756,-26.540070795706917,125
