,date,count,department_name,year,month,day_of_week,Friday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,January,March,May
36549,2020-01-01,25,South Adams County Fire Protection District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
32462,2020-01-01,5,Rincon Valley Fire District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
33262,2020-01-01,20,Rogers Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
21301,2020-01-01,83,Loudoun County Fire Rescue and EMS,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
28701,2020-01-01,167,Orlando Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
5717,2020-01-01,137,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
333,2020-01-01,29,Adams County Fire Protection District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
44026,2020-01-01,68,West Palm Beach Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
34646,2020-01-01,497,San Francisco Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
43335,2020-01-01,100,West Metro Fire Rescue,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
31242,2020-01-01,65,Richland Fire and Emergency Services,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
11450,2020-01-01,565,Columbus Division of Fire,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
7800,2020-01-01,1,Cicero Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
16325,2020-01-01,47,Golder Ranch Fire District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
26411,2020-01-01,36,Northwest Fire District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
33956,2020-01-01,253,Sacramento Metropolitan Fire District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
6075,2020-01-01,67,Cape Coral Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
18407,2020-01-01,1,Jackson Township Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
41775,2020-01-01,252,Tucson Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
40638,2020-01-01,29,Torrington Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
7170,2020-01-01,30,Cedar Rapids Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
10632,2020-01-01,8,City of Westfield Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
3637,2020-01-01,16,Beavercreek Township Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
13719,2020-01-01,48,Delray Beach Fire-Rescue Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
6753,2020-01-01,15,Carmel Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
27022,2020-01-01,45,Olathe Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
19037,2020-01-01,18,Jersey City Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
19922,2020-01-01,152,Lexington Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
42444,2020-01-01,689,Washington DC Fire & EMS Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
10124,2020-01-01,132,City of Saint Paul Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
25722,2020-01-01,16,Noblesville Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
38285,2020-01-01,160,St Lucie County Fire District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
1024,2020-01-01,293,Albuquerque Fire Rescue,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
29714,2020-01-01,65,Pasco Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
4328,2020-01-01,42,Bellevue Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
13102,2020-01-01,17,Delaware Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
14350,2020-01-01,32,East Pierce Fire and Rescue,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
1715,2020-01-01,58,Alexandria Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
22258,2020-01-01,393,Memphis Division of Fire Services,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
37239,2020-01-01,4,Southern Platte Fire Protection District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
39329,2020-01-01,57,The Villages Public Safety Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
20615,2020-01-01,1166,Los Angeles County Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
24334,2020-01-01,28,New Rochelle Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
25030,2020-01-01,82,Newport News Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
40000,2020-01-01,2,Toms River Fire District 1,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
31934,2020-01-01,122,Richmond Fire and Emergency Services,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
5022,2020-01-01,214,Boston Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
12127,2020-01-01,19,Coral Gables Fire and Rescue Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
30552,2020-01-01,15,Plainfield Fire Protection District,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
2408,2020-01-01,235,Anne Arundel County Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
17021,2020-01-01,50,Hall County Fire Services,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
22948,2020-01-01,242,Mesa Fire and Medical Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
17771,2020-01-01,27,Jackson County Fire District 3,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
27719,2020-01-01,75,Ontario Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
35162,2020-01-01,1,Sheridan Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
2976,2020-01-01,43,Asheville Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
23642,2020-01-01,703,Miami-Dade Fire Rescue Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
15641,2020-01-01,13,Fishers Fire and Emergency Services,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
9439,2020-01-01,47,City of Roseville Fire Department,2020,January,Wednesday,0,0,0,0,0,1,0,1,0,0
23643,2020-01-02,688,Miami-Dade Fire Rescue Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
43336,2020-01-02,108,West Metro Fire Rescue,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
20616,2020-01-02,1112,Los Angeles County Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
34647,2020-01-02,445,San Francisco Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
41776,2020-01-02,247,Tucson Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
31243,2020-01-02,77,Richland Fire and Emergency Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
32463,2020-01-02,5,Rincon Valley Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
17022,2020-01-02,92,Hall County Fire Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
9440,2020-01-02,59,City of Roseville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
19923,2020-01-02,171,Lexington Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
3638,2020-01-02,14,Beavercreek Township Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
37240,2020-01-02,5,Southern Platte Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
27720,2020-01-02,80,Ontario Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
35717,2020-01-02,3,Simsbury Volunteer Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
2977,2020-01-02,40,Asheville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
22949,2020-01-02,220,Mesa Fire and Medical Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
25031,2020-01-02,92,Newport News Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
13103,2020-01-02,21,Delaware Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
5718,2020-01-02,165,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
22259,2020-01-02,416,Memphis Division of Fire Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
2409,2020-01-02,247,Anne Arundel County Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
4329,2020-01-02,53,Bellevue Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
33263,2020-01-02,20,Rogers Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
17772,2020-01-02,18,Jackson County Fire District 3,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
1025,2020-01-02,255,Albuquerque Fire Rescue,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
10125,2020-01-02,138,City of Saint Paul Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
42803,2020-01-02,1,Wayne Township Volunteer Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
13720,2020-01-02,39,Delray Beach Fire-Rescue Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
25723,2020-01-02,14,Noblesville Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
29715,2020-01-02,77,Pasco Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
37930,2020-01-02,15,St Louis Park Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
5023,2020-01-02,203,Boston Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
24335,2020-01-02,27,New Rochelle Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
15642,2020-01-02,14,Fishers Fire and Emergency Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
7171,2020-01-02,44,Cedar Rapids Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
31935,2020-01-02,111,Richmond Fire and Emergency Services,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
14351,2020-01-02,31,East Pierce Fire and Rescue,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
40001,2020-01-02,1,Toms River Fire District 1,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
1716,2020-01-02,70,Alexandria Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
12128,2020-01-02,15,Coral Gables Fire and Rescue Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
41081,2020-01-02,24,Town of Manchester Fire-Rescue-EMS Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
38286,2020-01-02,161,St Lucie County Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
11451,2020-01-02,561,Columbus Division of Fire,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
42445,2020-01-02,578,Washington DC Fire & EMS Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
21302,2020-01-02,86,Loudoun County Fire Rescue and EMS,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
16326,2020-01-02,46,Golder Ranch Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
30553,2020-01-02,6,Plainfield Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
6076,2020-01-02,71,Cape Coral Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
26412,2020-01-02,54,Northwest Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
44027,2020-01-02,69,West Palm Beach Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
40639,2020-01-02,29,Torrington Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
6754,2020-01-02,16,Carmel Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
14996,2020-01-02,2,Fairmount Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
10633,2020-01-02,6,City of Westfield Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
19038,2020-01-02,34,Jersey City Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
334,2020-01-02,18,Adams County Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
18408,2020-01-02,1,Jackson Township Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
33957,2020-01-02,234,Sacramento Metropolitan Fire District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
27023,2020-01-02,30,Olathe Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
28702,2020-01-02,158,Orlando Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
7801,2020-01-02,2,Cicero Fire Department,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
36550,2020-01-02,24,South Adams County Fire Protection District,2020,January,Thursday,0,0,0,1,0,0,0,1,0,0
19039,2020-01-03,29,Jersey City Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
27024,2020-01-03,37,Olathe Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
34648,2020-01-03,429,San Francisco Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
13721,2020-01-03,52,Delray Beach Fire-Rescue Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
41082,2020-01-03,23,Town of Manchester Fire-Rescue-EMS Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
35718,2020-01-03,2,Simsbury Volunteer Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
43337,2020-01-03,95,West Metro Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
40002,2020-01-03,1,Toms River Fire District 1,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
31244,2020-01-03,79,Richland Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
28703,2020-01-03,168,Orlando Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
15643,2020-01-03,9,Fishers Fire and Emergency Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
17023,2020-01-03,67,Hall County Fire Services,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
6077,2020-01-03,69,Cape Coral Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
32464,2020-01-03,4,Rincon Valley Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
3639,2020-01-03,24,Beavercreek Township Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
40640,2020-01-03,27,Torrington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
16327,2020-01-03,47,Golder Ranch Fire District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
2410,2020-01-03,303,Anne Arundel County Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
19924,2020-01-03,175,Lexington Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
5719,2020-01-03,145,Broward County Sheriffs Office Department of Fire Rescue,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
36551,2020-01-03,26,South Adams County Fire Protection District,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
42446,2020-01-03,589,Washington DC Fire & EMS Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
10126,2020-01-03,118,City of Saint Paul Fire Department,2020,January,Friday,1,0,0,0,0,0,0,1,0,0
