date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,incidents,department_name
2020-02-17,8.666666666666666,8.666666666666666,29.333333333333332,2.0,-7.333333333333333,0.6666666666666666,22.138457042344516,Albuquerque Fire Rescue (73343)
2020-02-24,3.4285714285714284,5.0,0.14285714285714285,0.8571428571428571,1.7142857142857142,0.0,16.152890728413862,Albuquerque Fire Rescue (73343)
2020-03-02,12.0,10.428571428571429,20.428571428571427,7.571428571428571,3.4285714285714284,-1.7142857142857142,15.556126916829049,Albuquerque Fire Rescue (73343)
2020-03-09,10.857142857142858,13.142857142857142,28.142857142857142,5.571428571428571,3.0,-1.2857142857142858,19.2224143550936,Albuquerque Fire Rescue (73343)
2020-03-16,0.8571428571428571,25.142857142857142,21.571428571428573,-1.5714285714285714,-6.142857142857143,2.142857142857143,19.23422817942659,Albuquerque Fire Rescue (73343)
2020-03-23,-29.857142857142858,8.285714285714286,6.714285714285714,-23.857142857142858,-31.857142857142858,12.428571428571429,5.378560905068278,Albuquerque Fire Rescue (73343)
2020-03-30,-44.714285714285715,-18.0,-3.142857142857143,-39.57142857142857,-45.285714285714285,17.571428571428573,-0.432403697900774,Albuquerque Fire Rescue (73343)
2020-04-06,-39.857142857142854,-11.714285714285714,11.714285714285714,-36.857142857142854,-47.0,17.428571428571427,3.93055682424222,Albuquerque Fire Rescue (73343)
2020-04-13,-45.714285714285715,-17.0,-3.5714285714285716,-39.714285714285715,-49.57142857142857,18.571428571428573,4.461819459135658,Albuquerque Fire Rescue (73343)
2020-04-20,-38.142857142857146,-14.428571428571429,5.857142857142857,-35.0,-45.714285714285715,17.142857142857142,2.917022008254805,Albuquerque Fire Rescue (73343)
2020-04-27,-36.57142857142857,-12.571428571428571,13.142857142857142,-33.714285714285715,-45.57142857142857,16.714285714285715,1.4282017273829746,Albuquerque Fire Rescue (73343)
